Tip,Fish,Genus,Species,subspecies,ID,Location,NewLocation
AF370043.1,Siphateles bicolor mohavensis BB43,Siphateles,bicolor,mohavensis,BB43,"China Lake Naval Air Station, San Bernadino","China Lake Naval Air Station, San Bernadino County, California"
AF370044.1,Siphateles bicolor obesa OS 15111-1,Siphateles,bicolor,obesa,OS,"Walker Lake, Mineral County, Nevada","Walker Lake, Mineral County, Nevada"
AF370045.1,Siphateles bicolor obesa OS 15111-2,Siphateles,bicolor,obesa,OS,"Walker Lake, Mineral County, Nevada","Walker Lake, Mineral County, Nevada"
AF370046.1,Siphateles bicolor obesa OS 15637-1,Siphateles,bicolor,obesa,OS,"Humboldt River, Pershing County, Nevada","Humboldt River, Pershing County, Nevada"
AF370047.1,Siphateles bicolor obesa OS 15637-3,Siphateles,bicolor,obesa,OS,"Humboldt River, Pershing County, Nevada","Humboldt River, Pershing County, Nevada"
AF370048.1,Siphateles bicolor obesa OS 15512-2,Siphateles,bicolor,obesa,OS,"Pleasant Valley Spring, Pershing County,","Pleasant Valley Spring, Pershing County, Nevada"
AF370049.1,Siphateles bicolor obesa OS 15513-1,Siphateles,bicolor,obesa,OS,"Casey Pond, Churchill County, Nevada","Casey Pond, Churchill County, Nevada"
AF370050.1,Siphateles bicolor obesa OS 15513-2,Siphateles,bicolor,obesa,OS,"Casey Pond, Churchill County, Nevada","Casey Pond, Churchill County, Nevada"
AF370051.1,Siphateles bicolor obesa BB18,Siphateles,bicolor,obesa,BB18,"Eagle Lake, Lassen County, California","Eagle Lake, Lassen County, California"
AF370052.1,Siphateles bicolor obesa BB25,Siphateles,bicolor,obesa,BB25,"Pyramid Lake, Washoe County, Nevada","Pyramid Lake, Washoe County, Nevada"
AF370053.1,Siphateles bicolor obesa BB28,Siphateles,bicolor,obesa,BB28,"Pyramid Lake, Washoe County, Nevada","Pyramid Lake, Washoe County, Nevada"
AF370054.1,Siphateles bicolor obesa BB48,Siphateles,bicolor,obesa,BB48,"Pyramid Lake, Washoe County, Nevada","Pyramid Lake, Washoe County, Nevada"
AF370055.1,Siphateles bicolor obesa BB49,Siphateles,bicolor,obesa,BB49,"Pyramid Lake, Washoe County, Nevada","Pyramid Lake, Washoe County, Nevada"
AF370056.1,Siphateles bicolor obesa OS 15747-1,Siphateles,bicolor,obesa,OS,"Owens River, Inyo County, California","Owens River, Inyo County, California"
AF370057.1,Siphateles bicolor obesa OS 15520-1,Siphateles,bicolor,obesa,OS,"Fish Lake Valley, Esmeralda County, Nevada","Fish Lake Valley, Esmeralda County, Nevada"
AF370058.1,Siphateles bicolor obesa OS 15520-2,Siphateles,bicolor,obesa,OS,"Fish Lake Valley, Esmeralda County, Nevada","Fish Lake Valley, Esmeralda County, Nevada"
AF370059.1,Siphateles bicolor obesa OS 15514-1,Siphateles,bicolor,obesa,OS,"Bull Creek, Railroad Valley, Nye County,","Bull Creek, Railroad Valley, Nye County, Nevada"
AF370060.1,Siphateles bicolor obesa OS 15515-2,Siphateles,bicolor,obesa,OS,"Kate Springs, Railroad Valley, Nye County,","Kate Springs, Railroad Valley, Nye County, Nevada"
AF370061.1,Siphateles bicolor obesa OS 15517-2,Siphateles,bicolor,obesa,OS,"Blue Eagle Springs, Railroad Valley, Nye","Blue Eagle Springs, Railroad Valley, Nye County, Nevada"
AF370062.1,Siphateles bicolor obesa OS 15519-2,Siphateles,bicolor,obesa,OS,"Green Springs, Railroad Valley, Nye County,","Green Springs, Railroad Valley, Nye County, Nevada"
AF370063.1,Siphateles bicolor obesa BB1,Siphateles,bicolor,obesa,BB1,"Little Fish Lake Valley, Nye County, Nevada","Little Fish Lake Valley, Nye County, Nevada"
AF370064.1,Siphateles bicolor obesa OS 15522-1,Siphateles,bicolor,obesa,OS,"Big Smokey Valley, Nye County, Nevada","Big Smokey Valley, Nye County, Nevada"
AF370065.1,Siphateles bicolor obesa OS 16774-1,Siphateles,bicolor,obesa,OS,"XL Springs, Abert Lake Basin, Lake County,","XL Springs, Abert Lake Basin, Lake County, Oregon"
AF370066.1,Siphateles bicolor obesa OS 16774-2,Siphateles,bicolor,obesa,OS,"XL Springs, Abert Lake Basin, Lake County,","XL Springs, Abert Lake Basin, Lake County, Oregon"
AF370067.1,Siphateles bicolor obesa OS 16774-3,Siphateles,bicolor,obesa,OS,"XL Springs, Abert Lake Basin, Lake County,","XL Springs, Abert Lake Basin, Lake County, Oregon"
AF370068.1,Siphateles bicolor obesa OS 16722-1,Siphateles,bicolor,obesa,OS,"Brittain Springs, Abert Lake Basin, Lake","Brittain Springs, Abert Lake Basin, Lake County, Oregon"
AF370069.1,Siphateles bicolor obesa OS 16722-2,Siphateles,bicolor,obesa,OS,"Brittain Springs, Abert Lake Basin, Lake","Brittain Springs, Abert Lake Basin, Lake County, Oregon"
AF370070.1,Siphateles bicolor obesa OS 16771-1,Siphateles,bicolor,obesa,OS,"Hutton Springs, Alkali Lake Basin, Lake","Hutton Springs, Alkali Lake Basin, Lake County, Oregon"
AF370071.1,Siphateles bicolor obesa OS 16771-3,Siphateles,bicolor,obesa,OS,"Hutton Springs, Alkali Lake Basin, Lake","Hutton Springs, Alkali Lake Basin, Lake County, Oregon"
AF370072.1,Siphateles bicolor obesa PMH9503-1,Siphateles,bicolor,obesa,PMH9503,"Crooked Creek, Abert Lake Basin, Lake","Crooked Creek, Abert Lake Basin, Lake County, Oregon"
AF370073.1,Siphateles bicolor obesa PMH9503-2,Siphateles,bicolor,obesa,PMH9503,"Crooked Creek, Abert Lake Basin, Lake","Crooked Creek, Abert Lake Basin, Lake County, Oregon"
AF370074.1,Siphateles bicolor obesa PMH9503-3,Siphateles,bicolor,obesa,PMH9503,"Crooked Creek, Abert Lake Basin, Lake","Crooked Creek, Abert Lake Basin, Lake County, Oregon"
AF370075.1,Siphateles bicolor obesa OS 15312-33,Siphateles,bicolor,obesa,OS,"Rickert Springs, Summer Lake Basin, Lake","Rickert Springs, Summer Lake Basin, Lake County, Oregon"
AF370076.1,Siphateles bicolor obesa OS 15437-47,Siphateles,bicolor,obesa,OS,"County Road 4-17 Springs, Summer Lake Basin, Lake County, Oregon","County Road 4-17 Springs, Summer Lake Basin, Lake County, Oregon"
AF370077.1,Siphateles bicolor obesa OS 15437-49,Siphateles,bicolor,obesa,OS,"County Road 4-17 Springs, Summer Lake Basin, Lake County, Oregon","County Road 4-17 Springs, Summer Lake Basin, Lake County, Oregon"
AF370078.1,Siphateles bicolor obesa OS 15438-16,Siphateles,bicolor,obesa,OS,"Klippel Springs, Summer Lake Basin, Lake County, Oregon","Klippel Springs, Summer Lake Basin, Lake County, Oregon"
OL457405.1,Siphateles bicolor obesa,Siphateles,bicolor,obesa,NA,"Oregon, Lake County, Anna Reservoir boat launch","An[n]a Reservoir, Lake County, Oregon"
OL457402.1,Siphateles bicolor obesa,Siphateles,bicolor,obesa,NA,"Oregon, Lake County, County Road 4-17 culvert crossing"," County Road 4-17 culvert crossing, Lake County, Oregon"
JX443080.1,Siphateles bicolor obesa OS 15637_3,Siphateles,bicolor,obesa,OS,"South Fork Reservoir, South Fork of Humboldt River, Elko County, Nevada","South Fork Reservoir, South Fork of Humboldt River, Elko County, Nevada"
AF237736.1,Siphateles bicolor obesa,Siphateles,bicolor,obesa,NA,"Nevada, Churchill County, Little Soda Lake","Little Soda Lake, Churchill County, Nevada"
AF237737.1,Siphateles bicolor obesa,Siphateles,bicolor,obesa,NA,"Nevada, Churchill County, Little Soda Lake","Little Soda Lake, Churchill County, Nevada"
AF237738.1,Siphateles bicolor obesa,Siphateles,bicolor,obesa,NA,"Nevada, Nye County, Big Smoky Valley","Big Smoky Valley, Nye County, Nevada"
AF370079.1,Siphateles bicolor obesa OS 15438-17,Siphateles,bicolor,obesa,OS,"Klippel Springs, Summer Lake Basin, Lake","Klippel Springs, Summer Lake Basin, Lake County, Oregon"
AF370080.1,Siphateles bicolor obesa OS 15438-18,Siphateles,bicolor,obesa,OS,"Klippel Springs, Summer Lake Basin, Lake","Klippel Springs, Summer Lake Basin, Lake County, Oregon"
AF370081.1,Siphateles bicolor obesa OS 15440-2,Siphateles,bicolor,obesa,OS,"Ana Reservoir, Summer Lake Basin, Lake","Ana Reservoir, Summer Lake Basin, Lake County, Oregon"
AF370082.1,Siphateles bicolor obesa OS 15440-4,Siphateles,bicolor,obesa,OS,"Ana Reservoir, Summer Lake Basin, Lake","Ana Reservoir, Summer Lake Basin, Lake County, Oregon"
AF370083.1,Siphateles bicolor isolata OS 15622-1,Siphateles,bicolor,isolata,OS,"Warm Springs Ranch, Elko County, Nevada","Warm Springs Ranch, Elko County, Nevada"
AF370084.1,Siphateles bicolor isolata OS 15622-3,Siphateles,bicolor,isolata,OS,"Warm Springs Ranch, Elko County, Nevada","Warm Springs Ranch, Elko County, Nevada"
AF370085.1,Siphateles bicolor newarkensis OS 15743-1,Siphateles,bicolor,newarkensis,OS,"Fish Creek Springs, Eureka County, Nevada","Fish Creek Springs, Eureka County, Nevada"
AF370086.1,Siphateles bicolor newarkensis OS 15743-2,Siphateles,bicolor,newarkensis,OS,"Fish Creek Springs, Eureka County, Nevada","Fish Creek Springs, Eureka County, Nevada"
AF370087.1,Siphateles bicolor newarkensis OS 15744-1,Siphateles,bicolor,newarkensis,OS,"Circle Ranch, White Pine County, Nevada","Circle Ranch, White Pine County, Nevada"
AF370088.1,Siphateles bicolor newarkensis OS 15744-2,Siphateles,bicolor,newarkensis,OS,"Circle Ranch, White Pine County, Nevada","Circle Ranch, White Pine County, Nevada"
AF370089.1,Siphateles bicolor eurysoma OS 15572-1,Siphateles,bicolor,eurysoma,OS,"Three Mile Reservoir, Catlow Valley, Harney","Three Mile Reservoir, Catlow Valley, Harney County, Oregon"
AF370090.1,Siphateles bicolor eurysoma OS 15572-2,Siphateles,bicolor,eurysoma,OS,"Three Mile Reservoir, Catlow Valley, Harney","Three Mile Reservoir, Catlow Valley, Harney County, Oregon"
AF370091.1,Siphateles bicolor eurysoma OS 15572-3,Siphateles,bicolor,eurysoma,OS,"Three Mile Reservoir, Catlow Valley, Harney","Three Mile Reservoir, Catlow Valley, Harney County, Oregon"
AF370092.1,Siphateles bicolor eurysoma OS 15635-1,Siphateles,bicolor,eurysoma,OS,"Rock Creek, Catlow Valley, Harney County,","Rock Creek, Catlow Valley, Harney County, Oregon"
AF370093.1,Siphateles bicolor eurysoma OS 15635-2,Siphateles,bicolor,eurysoma,OS,"Rock Creek, Catlow Valley, Harney County,","Rock Creek, Catlow Valley, Harney County, Oregon"
AF370094.1,Siphateles bicolor eurysoma OS 15635-3,Siphateles,bicolor,eurysoma,OS,"Rock Creek, Catlow Valley, Harney County,","Rock Creek, Catlow Valley, Harney County, Oregon"
AF370095.1,Siphateles bicolor eurysoma PMH9504-3,Siphateles,bicolor,eurysoma,PMH9504,"Skull Creek, Catlow Valley, Harney County,","Skull Creek, Catlow Valley, Harney County, Oregon"
AF370096.1,Siphateles bicolor eurysoma PMH9505-1,Siphateles,bicolor,eurysoma,PMH9505,"Roaring Springs, Catlow Valley, Harney","Roaring Springs, Catlow Valley, Harney County, Oregon"
AF370097.1,Siphateles bicolor eurysoma PMH9505-2,Siphateles,bicolor,eurysoma,PMH9505,"Roaring Springs, Catlow Valley, Harney","Roaring Springs, Catlow Valley, Harney County, Oregon"
AF370098.1,Siphateles bicolor eurysoma PMH9505-3,Siphateles,bicolor,eurysoma,PMH9505,"Roaring Springs, Catlow Valley, Harney","Roaring Springs, Catlow Valley, Harney County, Oregon"
AF370099.1,Siphateles bicolor eurysoma OS 15574-4,Siphateles,bicolor,eurysoma,OS,"Fish Creek, Guano Valley, Washoe County,","Fish Creek, Guano Valley, Washoe County, Nevada"
AF370100.1,Siphateles bicolor columbianus OS 15577-4,Siphateles,bicolor,columbianus,OS,"Silver Creek, Harney County, Oregon","Silver Creek, Harney County, Oregon"
AF370101.1,Siphateles bicolor columbianus OS 15577-6,Siphateles,bicolor,columbianus,OS,"Silver Creek, Harney County, Oregon","Silver Creek, Harney County, Oregon"
AF370102.1,Siphateles bicolor columbianus OS 15577-8,Siphateles,bicolor,columbianus,OS,"Silver Creek, Harney County, Oregon","Silver Creek, Harney County, Oregon"
AF370103.1,Siphateles bicolor subsp. 'Silver Lake Valley' PMH9401-1,Siphateles,bicolor,subsp,Silver,"Buck Creek, Silver Lake Valley, Lake County,","Buck Creek, Silver Lake Valley, Lake County, Oregon"
AF370104.1,Siphateles bicolor subsp. 'Silver Lake Valley' PMH9401-2,Siphateles,bicolor,subsp,Silver,"Buck Creek, Silver Lake Valley, Lake County,","Buck Creek, Silver Lake Valley, Lake County, Oregon"
AF370105.1,Siphateles bicolor OS 16665-1,Siphateles,bicolor,OS,16665,"Upper Klamath Lake, Klamath County, Oregon","Upper Klamath Lake, Klamath County, Oregon"
AF370106.1,Siphateles bicolor OS 16665-2,Siphateles,bicolor,OS,16665,"Upper Klamath Lake, Klamath County, Oregon","Upper Klamath Lake, Klamath County, Oregon"
AF370107.1,Siphateles bicolor thalassinus BB60,Siphateles,bicolor,thalassinus,BB60,"Goose Lake, Lake County, Oregon","Goose Lake, Lake County, Oregon"
AF370108.1,Siphateles bicolor thalassinus BB62,Siphateles,bicolor,thalassinus,BB62,"Goose Lake, Lake County, Oregon","Goose Lake, Lake County, Oregon"
AF370109.1,Siphateles bicolor thalassinus OS 15312-32,Siphateles,bicolor,thalassinus,OS,"Rickert Springs, Summer Lake Basin, Lake","Rickert Springs, Summer Lake Basin, Lake County, Oregon"
AF370110.1,Siphateles bicolor thalassinus OS 15312-31,Siphateles,bicolor,thalassinus,OS,"Rickert Springs, Summer Lake Basin, Lake","Rickert Springs, Summer Lake Basin, Lake County, Oregon"
AF370111.1,Siphateles bicolor thalassinus OS 15437-48,Siphateles,bicolor,thalassinus,OS,"County Road 4-17 Springs, Summer Lake Basin,","County Road 4-17 Springs, Summer Lake Basin, Lake County, Oregon"
AF370112.1,Siphateles bicolor thalassinus BB-W1,Siphateles,bicolor,thalassinus,BB,"Hart Lake, Warner Valley, Lake County,","Hart Lake, Warner Valley, Lake County, Oregon"
AF370113.1,Siphateles bicolor thalassinus BB-W2,Siphateles,bicolor,thalassinus,BB,"Hart Lake, Warner Valley, Lake County,","Hart Lake, Warner Valley, Lake County, Oregon"
AF370114.1,Siphateles bicolor thalassinus DFM9709-1,Siphateles,bicolor,thalassinus,DFM9709,"Cowhead Slough, Cowhead Lake Valley, Modoc","Cowhead Slough, Cowhead Lake Valley, Modoc County, California"
MF972070.1,Siphateles bicolor mohavensis,Siphateles,bicolor,mohavensis,NA,NA,"Camp Cady Wildlife Area, San Bernadino County, California"
AF237760.1,Siphateles bicolor isolata,Siphateles,bicolor,isolata,NA,"Nevada, Elko County, Independence Valley","Independence Valley, Elko County, Nevada"
AF237758.1,Siphateles bicolor euchila,Siphateles,bicolor,euchila,NA,"Nevada, Eureka County, Little Smoky Valley","Little Smoky Valley, Eureka County, Nevada"
AF237757.1,Siphateles bicolor newarkensis,Siphateles,bicolor,newarkensis,NA,"Nevada, White Pine County, Newark Valley","Newark Valley, White Pine County, Nevada"
AF237756.1,Siphateles bicolor euchila,Siphateles,bicolor,euchila,NA,"Nevada, Eureka County, Little Smoky Valley","Little Smoky Valley, Eureka County, Nevada"
AF237755.1,Siphateles bicolor newarkensis,Siphateles,bicolor,newarkensis,NA,"Nevada, White Pine County, Newark Valley","Newark Valley, White Pine County, Nevada"
AF237754.1,Siphateles bicolor newarkensis,Siphateles,bicolor,newarkensis,NA,"Nevada, White Pine County, Newark Valley","Newark Valley, White Pine County, Nevada"
AF237753.1,Siphateles bicolor obesa,Siphateles,bicolor,obesa,NA,"Nevada, Churchill County, Toulon Drain","Toulon Drain, Churchill County, Nevada"
AF237752.1,Siphateles bicolor obesa,Siphateles,bicolor,obesa,NA,"Nevada, Elko County, South Fork Humboldt River","South Fork Humboldt River, Elko County, Nevada"
AF237751.1,Siphateles bicolor obesa,Siphateles,bicolor,obesa,NA,"Nevada, Esmerelda County, Fish Lake Valley","Fish Lake Valley, Esmeralda County, Nevada"
AF237750.1,Siphateles bicolor obesa,Siphateles,bicolor,obesa,NA,"Nevada, Nye County, Railroad Valley, Bull Creek","Bull Creek, Railroad Valley, Nye County, Nevada"
AF237749.1,Siphateles bicolor obesa,Siphateles,bicolor,obesa,NA,"Nevada, Nye County, Railroad Valley, Blue Eagle","Blue Eagle Springs, Railroad Valley, Nye County, Nevada"
AF237748.1,Siphateles bicolor obesa,Siphateles,bicolor,obesa,NA,"Nevada, Nye County, Railroad Valley, Flowing Wells","Flowing Wells, Railroad Valley, Nye County, Nevada"
AF237747.1,Siphateles bicolor obesa,Siphateles,bicolor,obesa,NA,"Nevada, Nye County, Railroad Valley, Bull Creek","Bull Creek, Railroad Valley, Nye County, Nevada"
AF237746.1,Siphateles bicolor obesa,Siphateles,bicolor,obesa,NA,"Nevada, Nye County, Railroad Valley, Blue Eagle","Blue Eagle Springs, Railroad Valley, Nye County, Nevada"
AF237745.1,Siphateles bicolor obesa,Siphateles,bicolor,obesa,NA,"Nevada, Nye County, Railroad Valley, Blue Eagle","Blue Eagle Springs, Railroad Valley, Nye County, Nevada"
AF237744.1,Siphateles bicolor obesa,Siphateles,bicolor,obesa,NA,"Nevada, Nye County, Railroad Valley, Green Springs","Green Springs, Railroad Valley, Nye County, Nevada"
AF237743.1,Siphateles bicolor obesa,Siphateles,bicolor,obesa,NA,"Nevada, Nye County, Railroad Valley, Flowing Wells","Flowing Wells, Railroad Valley, Nye County, Nevada"
AF237742.1,Siphateles bicolor obesa,Siphateles,bicolor,obesa,NA,"Nevada, Nye County, Hot Creek Valley","Hot Creek Valley, Nye County, Nevada"
AF237741.1,Siphateles bicolor obesa,Siphateles,bicolor,obesa,NA,"Nevada, Nye County, Hot Creek Valley","Hot Creek Valley, Nye County, Nevada"
AF237740.1,Siphateles bicolor obesa,Siphateles,bicolor,obesa,NA,"Nevada, Nye County, Little Fish Lake Valley","Little Fish Lake Valley, Nye County, Nevada"
AF237739.1,Siphateles bicolor obesa,Siphateles,bicolor,obesa,NA,"Nevada, Nye County, Big Smoky Valley","Big Smoky Valley, Nye County, Nevada"